"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"25","25","","","0",""
"29","29","","","0",""
"92","92","","","0",""
"102","102","","","2","300"
"211","211","","","0",""
"215","215","","","0",""
"102","102","GO301_24_702","GO301_24_2","1",""
"102","102","GO301_24_1900","GO301_24_2","1",""
"102","102","GO301_24_702","GO301_24_2_1","1",""
"102","102","GO301_24_1900","GO301_24_2_1","1",""
"102","102","GO301_24_814","GO301_24_4","1",""
"102","102","GO301_24_1612","GO301_24_4","1",""
"102","102","GO301_24_1294","GO301_24_8","1",""
"102","102","GO301_24_1520","GO301_24_8","1",""
"102","102","GO301_24_1294","GO301_24_10","1",""
"102","102","GO301_24_1520","GO301_24_10","1",""
"102","102","GO301_24_1298","GO301_24_12","1",""
"102","102","GO301_24_2350","GO301_24_12","1",""
"102","102","GO301_24_170","GO301_24_18","1",""
"102","102","GO301_24_2064","GO301_24_18","1",""
"102","102","GO301_24_2064","GO301_24_18_1","1",""
"102","102","GO301_24_2360","GO301_24_18_1","1",""
"102","102","GO301_24_2442","GO301_24_20","1",""
"102","102","GO301_24_770","GO301_24_22","1",""
"102","102","GO301_24_1064","GO301_24_22","1",""
"102","102","GO301_24_286","GO301_24_26","1",""
"102","102","GO301_24_2784","GO301_24_26","1",""
"27","27","GO301_24_31","GO301_24_217","1",""
"27","27","GO301_24_196","GO301_24_32","1",""
"27","27","GO301_24_136","GO301_24_36","1",""
"27","27","GO301_24_148","GO301_24_38","1",""
"27","27","GO301_24_168","GO301_24_40","1",""
"27","27","GO301_24_168_1","GO301_24_40","1",""
"27","27","GO301_24_41","GO301_24_133","1",""
"102","102","GO301_24_1660","GO301_24_42","1",""
"102","102","GO301_24_1660_1","GO301_24_42","1",""
"27","27","GO301_24_43","GO301_24_167","1",""
"102","102","GO301_24_272","GO301_24_44","1",""
"102","102","GO301_24_272_1","GO301_24_44","1",""
"27","27","GO301_24_180","GO301_24_46","1",""
"102","102","GO301_24_1978","GO301_24_48","1",""
